id_encuestado,fecha_respuesta,edad_rango,genero,ciudad,nivel_educativo,tipo_celular,dispositivo_principal,acceso_internet,nivel_manejo_celular,comodidad_apps,frecuencia_uso_apps,apps_usadas,uso_principal_celular,dificultades,miedos,interes_clases_presenciales,interes_simuladores,apps_deseadas,app_prioritaria,dias_disponibles,horarios_disponibles,frecuencia_posible_semana,duracion_preferida_clase,tiempo_desplazamiento,lugar_preferido_clases,tipo_clase_preferida,limitaciones,disposicion_pago,entidad_ideal,contacto_interes
1,2025-11-24,40-49,Femenino,Malambo,Bachillerato,Smartphone,Tablet,No tiene,1,Muy comodo,Nunca,"Correo, WhatsApp, Banca",Mensajes,Ninguna,Ninguno,Si,Util,"Compras, Banca, Salud",Correo,"Lunes, Martes","Tarde, Noche",2 veces,45 min,21-40,Barrio,Individual,Memoria,Si,Empresa privada,No
2,2025-11-25,60-69,Femenino,Galapa,Ninguno,Smartphone,Ninguno,WiFi,5,Neutral,A veces,"YouTube, WhatsApp, Banca",Videos,Miedo a danar celular,Estafas,Tal vez,Poco util,"Redes sociales, Banca",Mapas,"Martes, Miercoles",Noche,2 veces,45 min,11-20,Alcaldia,Indiferente,Motricidad,Solo si es gratis,Familia,Si
3,2025-11-23,60-69,Femenino,Soledad,Primaria,Celular basico,Ninguno,Datos moviles,1,Incomodo,A veces,Ninguna,"Mapas, No lo usa",Olvida contrasenas,Perder dinero,Si,Poco util,"Compras, Correo, Salud",Mapas,Martes,"Manana, Noche",1 vez,45 min,11-20,Alcaldia,Individual,Memoria,No,Familia,No
4,2025-11-28,60-69,Prefiero no decirlo,Barranquilla,Primaria,No tiene,Computador,No tiene,3,Muy incomodo,A veces,"YouTube, Correo",No lo usa,"Ninguna, Miedo a danar celular",Ninguno,Si,Poco util,"Salud, Banca, Google Maps",Banca,"Viernes, Lunes, Miercoles","Manana, Noche",3 veces o mas,1 hora,11-20,Barrio,Grupo pequeno,Ninguna,Si,Alcaldia,No
5,2025-11-18,40-49,Prefiero no decirlo,Soledad,Bachillerato,No tiene,Ninguno,No tiene,2,Neutral,Todos los dias,Banca,No lo usa,"No sabe descargar apps, Olvida contrasenas",No entender,No,No me interesa,Salud,Banca,Miercoles,Noche,2 veces,45 min,0-10,Barrio,Individual,Audicion,Si,Alcaldia,No
6,2025-12-12,80+,Femenino,Malambo,Profesional,Smartphone,Tablet,No tiene,5,Muy comodo,Todos los dias,Correo,"Mensajes, Llamadas",No sabe descargar apps,Dañar celular,Tal vez,No me interesa,"WhatsApp, Redes sociales",Redes sociales,"Lunes, Sabado, Jueves","Manana, Noche",2 veces,45 min,40+,Biblioteca,Indiferente,Audicion,No,Fundacion,Si
7,2025-11-17,40-49,Masculino,Puerto Colombia,Primaria,Smartphone,Celular,WiFi,2,Incomodo,Todos los dias,"Correo, YouTube","Llamadas, Mensajes","No entiende botones, No sabe descargar apps",Dañar celular,Tal vez,Poco util,"Gobierno, Banca",Banca,"Martes, Lunes",Noche,3 veces o mas,30 min,0-10,Alcaldia,Grupo pequeno,Vista,Solo si es gratis,Alcaldia,Si
8,2025-12-12,80+,Femenino,Soledad,Profesional,Smartphone,Tablet,No tiene,5,Muy incomodo,Nunca,"Ninguna, Banca","Videos, Mensajes","Miedo a danar celular, Olvida contrasenas",No entender,Si,Poco util,"Redes sociales, Compras",WhatsApp,Jueves,Manana,2 veces,1 hora,11-20,Universidad,Individual,Audicion,No,Empresa privada,Si
9,2025-11-30,80+,Prefiero no decirlo,Malambo,Ninguno,No tiene,Celular,No tiene,5,Neutral,Nunca,Google Maps,Llamadas,Olvida contrasenas,Dañar celular,No,Util,"Redes sociales, Banca, Gobierno",Redes sociales,"Viernes, Jueves","Manana, Noche",Depende,1 hora,0-10,Barrio,Grupo grande,Audicion,Solo si es gratis,Empresa privada,Si
10,2025-11-21,70-79,Prefiero no decirlo,Galapa,Ninguno,Smartphone,Celular,WiFi,2,Muy comodo,Nunca,"Banca, Ninguna",Mapas,No entiende botones,Dañar celular,Tal vez,Muy util,"Salud, Redes sociales",Banca,"Lunes, Miercoles, Jueves",Manana,2 veces,45 min,40+,Barrio,Grupo pequeno,Motricidad,No,Universidad,No
