id_encuestado,fecha_respuesta,edad_rango,genero,ciudad,nivel_educativo,tipo_celular,dispositivo_principal,acceso_internet,nivel_manejo_celular,comodidad_apps,frecuencia_uso_apps,apps_usadas,uso_principal_celular,dificultades,miedos,interes_clases_presenciales,interes_simuladores,apps_deseadas,app_prioritaria,dias_disponibles,horarios_disponibles,frecuencia_posible_semana,duracion_preferida_clase,tiempo_desplazamiento,lugar_preferido_clases,tipo_clase_preferida,limitaciones,disposicion_pago,entidad_ideal,contacto_interes
1,2025-11-24,40-49,Femenino,Malambo,Bachillerato,Smartphone,Tablet,No Tiene,1,Muy Comodo,Nunca,"Correo,Whatsapp,Banca",Mensajes,Ninguna,Ninguno,Si,Util,"Compras,Banca,Salud",Correo,"Lunes,Martes","Tarde,Noche",2 Veces,45 Min,21-40,Barrio,Individual,Memoria,Si,Empresa Privada,No
2,2025-11-25,60-69,Femenino,Galapa,Ninguno,Smartphone,Ninguno,Wifi,5,Neutral,A Veces,"Youtube,Whatsapp,Banca",Videos,Miedo A Danar Celular,Estafas,Tal Vez,Poco Util,"Redes Sociales,Banca",Mapas,"Martes,Miercoles",Noche,2 Veces,45 Min,11-20,Alcaldia,Indiferente,Motricidad,Solo Si Es Gratis,Familia,Si
3,2025-11-23,60-69,Femenino,Soledad,Primaria,Celular Basico,Ninguno,Datos Moviles,1,Incomodo,A Veces,Ninguna,"Mapas,No Lo Usa",Olvida Contrasenas,Perder Dinero,Si,Poco Util,"Compras,Correo,Salud",Mapas,Martes,"Manana,Noche",1 Vez,45 Min,11-20,Alcaldia,Individual,Memoria,No,Familia,No
4,2025-11-28,60-69,Prefiero No Decirlo,Barranquilla,Primaria,No Tiene,Computador,No Tiene,3,Muy Incomodo,A Veces,"Youtube,Correo",No Lo Usa,"Ninguna,Miedo A Danar Celular",Ninguno,Si,Poco Util,"Salud,Banca,Google Maps",Banca,"Viernes,Lunes,Miercoles","Manana,Noche",3 Veces O Mas,1 Hora,11-20,Barrio,Grupo Pequeno,Ninguna,Si,Alcaldia,No
5,2025-11-18,40-49,Prefiero No Decirlo,Soledad,Bachillerato,No Tiene,Ninguno,No Tiene,2,Neutral,Todos Los Dias,Banca,No Lo Usa,"No Sabe Descargar Apps,Olvida Contrasenas",No Entender,No,No Me Interesa,Salud,Banca,Miercoles,Noche,2 Veces,45 Min,0-10,Barrio,Individual,Audicion,Si,Alcaldia,No
6,2025-12-12,80+,Femenino,Malambo,Profesional,Smartphone,Tablet,No Tiene,5,Muy Comodo,Todos Los Dias,Correo,"Mensajes,Llamadas",No Sabe Descargar Apps,Dañar Celular,Tal Vez,No Me Interesa,"Whatsapp,Redes Sociales",Redes Sociales,"Lunes,Sabado,Jueves","Manana,Noche",2 Veces,45 Min,40+,Biblioteca,Indiferente,Audicion,No,Fundacion,Si
7,2025-11-17,40-49,Masculino,Puerto Colombia,Primaria,Smartphone,Celular,Wifi,2,Incomodo,Todos Los Dias,"Correo,Youtube","Llamadas,Mensajes","No Entiende Botones,No Sabe Descargar Apps",Dañar Celular,Tal Vez,Poco Util,"Gobierno,Banca",Banca,"Martes,Lunes",Noche,3 Veces O Mas,30 Min,0-10,Alcaldia,Grupo Pequeno,Vista,Solo Si Es Gratis,Alcaldia,Si
8,2025-12-12,80+,Femenino,Soledad,Profesional,Smartphone,Tablet,No Tiene,5,Muy Incomodo,Nunca,"Ninguna,Banca","Videos,Mensajes","Miedo A Danar Celular,Olvida Contrasenas",No Entender,Si,Poco Util,"Redes Sociales,Compras",Whatsapp,Jueves,Manana,2 Veces,1 Hora,11-20,Universidad,Individual,Audicion,No,Empresa Privada,Si
9,2025-11-30,80+,Prefiero No Decirlo,Malambo,Ninguno,No Tiene,Celular,No Tiene,5,Neutral,Nunca,Google Maps,Llamadas,Olvida Contrasenas,Dañar Celular,No,Util,"Redes Sociales,Banca,Gobierno",Redes Sociales,"Viernes,Jueves","Manana,Noche",Depende,1 Hora,0-10,Barrio,Grupo Grande,Audicion,Solo Si Es Gratis,Empresa Privada,Si
10,2025-11-21,70-79,Prefiero No Decirlo,Galapa,Ninguno,Smartphone,Celular,Wifi,2,Muy Comodo,Nunca,"Banca,Ninguna",Mapas,No Entiende Botones,Dañar Celular,Tal Vez,Muy Util,"Salud,Redes Sociales",Banca,"Lunes,Miercoles,Jueves",Manana,2 Veces,45 Min,40+,Barrio,Grupo Pequeno,Motricidad,No,Universidad,No
